[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Density [ kg m^-3 ]
0.00000000e+000, 1.02016993e+001
9.99999978e-003, 1.01983385e+001
1.99999996e-002, 1.01949778e+001
2.99999993e-002, 1.01916189e+001
3.99999991e-002, 1.01882582e+001
4.99999970e-002, 1.01848984e+001
5.99999949e-002, 1.01815376e+001
6.99999928e-002, 1.01781788e+001
7.99999908e-002, 1.01748180e+001
8.99999887e-002, 1.01714573e+001
9.99999866e-002, 1.01680975e+001
1.09999985e-001, 1.01633682e+001
1.19999982e-001, 1.01586409e+001
1.29999980e-001, 1.01539125e+001
1.39999986e-001, 1.01491852e+001
1.49999991e-001, 1.01444559e+001
1.59999996e-001, 1.01397276e+001
1.70000002e-001, 1.01349993e+001
1.80000007e-001, 1.01302700e+001
1.90000013e-001, 1.01255417e+001
2.00000018e-001, 1.01208134e+001
2.10000023e-001, 1.01157713e+001
2.20000029e-001, 1.01107254e+001
2.30000034e-001, 1.01056824e+001
2.40000039e-001, 1.01006365e+001
2.50000030e-001, 1.00955944e+001
2.60000020e-001, 1.00905504e+001
2.70000011e-001, 1.00855064e+001
2.80000001e-001, 1.00804615e+001
2.89999992e-001, 1.00754175e+001
2.99999982e-001, 1.00703735e+001
3.09999973e-001, 1.00625925e+001
3.19999963e-001, 1.00548134e+001
3.29999954e-001, 1.00470314e+001
3.39999944e-001, 1.00392513e+001
3.49999934e-001, 1.00314713e+001
3.59999925e-001, 1.00236902e+001
3.69999915e-001, 1.00159101e+001
3.79999906e-001, 1.00081291e+001
3.89999896e-001, 1.00003490e+001
3.99999887e-001, 9.99256706e+000
4.09999877e-001, 9.98073769e+000
4.19999868e-001, 9.96890736e+000
4.29999858e-001, 9.95707512e+000
4.39999849e-001, 9.94524479e+000
4.49999839e-001, 9.93341351e+000
4.59999830e-001, 9.92158222e+000
4.69999820e-001, 9.90975189e+000
4.79999810e-001, 9.89792156e+000
4.89999801e-001, 9.88609028e+000
4.99999791e-001, 9.87425995e+000
5.09999812e-001, 9.85505199e+000
5.19999802e-001, 9.83584499e+000
5.29999793e-001, 9.81663799e+000
5.39999783e-001, 9.79743099e+000
5.49999774e-001, 9.77822399e+000
5.59999764e-001, 9.75901699e+000
5.69999754e-001, 9.73980999e+000
5.79999745e-001, 9.72060299e+000
5.89999735e-001, 9.70139503e+000
