[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Pressure [ Pa ]
0.00000000e+000, 8.03531250e+005
9.99999978e-003, 8.03238063e+005
1.99999996e-002, 8.02944938e+005
2.99999993e-002, 8.02651813e+005
3.99999991e-002, 8.02358625e+005
4.99999970e-002, 8.02065438e+005
5.99999949e-002, 8.01772375e+005
6.99999928e-002, 8.01479188e+005
7.99999908e-002, 8.01186063e+005
8.99999887e-002, 8.00892875e+005
9.99999866e-002, 8.00599750e+005
1.09999985e-001, 8.00045250e+005
1.19999982e-001, 7.99490750e+005
1.29999980e-001, 7.98936250e+005
1.39999986e-001, 7.98381813e+005
1.49999991e-001, 7.97827375e+005
1.59999996e-001, 7.97272813e+005
1.70000002e-001, 7.96718375e+005
1.80000007e-001, 7.96163875e+005
1.90000013e-001, 7.95609438e+005
2.00000018e-001, 7.95054938e+005
2.10000023e-001, 7.94433688e+005
2.20000029e-001, 7.93812313e+005
2.30000034e-001, 7.93191063e+005
2.40000039e-001, 7.92569688e+005
2.50000030e-001, 7.91948500e+005
2.60000020e-001, 7.91327125e+005
2.70000011e-001, 7.90705813e+005
2.80000001e-001, 7.90084563e+005
2.89999992e-001, 7.89463188e+005
2.99999982e-001, 7.88841938e+005
3.09999973e-001, 7.87900000e+005
3.19999963e-001, 7.86958125e+005
3.29999954e-001, 7.86016188e+005
3.39999944e-001, 7.85074250e+005
3.49999934e-001, 7.84132313e+005
3.59999925e-001, 7.83190438e+005
3.69999915e-001, 7.82248438e+005
3.79999906e-001, 7.81306563e+005
3.89999896e-001, 7.80364563e+005
3.99999887e-001, 7.79422750e+005
4.09999877e-001, 7.77985375e+005
4.19999868e-001, 7.76548063e+005
4.29999858e-001, 7.75110688e+005
4.39999849e-001, 7.73673500e+005
4.49999839e-001, 7.72236125e+005
4.59999830e-001, 7.70798750e+005
4.69999820e-001, 7.69361438e+005
4.79999810e-001, 7.67924188e+005
4.89999801e-001, 7.66486875e+005
4.99999791e-001, 7.65049563e+005
5.09999812e-001, 7.62680188e+005
5.19999802e-001, 7.60310688e+005
5.29999793e-001, 7.57941313e+005
5.39999783e-001, 7.55571938e+005
