[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Temperature [ K ]
0.00000000e+000, 3.09370789e+002
9.99999978e-003, 3.09335999e+002
1.99999996e-002, 3.09301147e+002
2.99999993e-002, 3.09266357e+002
3.99999991e-002, 3.09231537e+002
4.99999970e-002, 3.09196716e+002
5.99999949e-002, 3.09161926e+002
6.99999928e-002, 3.09127106e+002
7.99999908e-002, 3.09092255e+002
8.99999887e-002, 3.09057465e+002
9.99999866e-002, 3.09022644e+002
1.09999985e-001, 3.08976166e+002
1.19999982e-001, 3.08929688e+002
1.29999980e-001, 3.08883270e+002
1.39999986e-001, 3.08836792e+002
1.49999991e-001, 3.08790314e+002
1.59999996e-001, 3.08743835e+002
1.70000002e-001, 3.08697418e+002
1.80000007e-001, 3.08650909e+002
1.90000013e-001, 3.08604462e+002
2.00000018e-001, 3.08558014e+002
2.10000023e-001, 3.08497559e+002
2.20000029e-001, 3.08437103e+002
2.30000034e-001, 3.08376648e+002
2.40000039e-001, 3.08316162e+002
2.50000030e-001, 3.08255707e+002
2.60000020e-001, 3.08195251e+002
2.70000011e-001, 3.08134827e+002
2.80000001e-001, 3.08074341e+002
2.89999992e-001, 3.08013855e+002
2.99999982e-001, 3.07953430e+002
3.09999973e-001, 3.07864685e+002
3.19999963e-001, 3.07775970e+002
3.29999954e-001, 3.07687256e+002
3.39999944e-001, 3.07598511e+002
3.49999934e-001, 3.07509766e+002
3.59999925e-001, 3.07421082e+002
3.69999915e-001, 3.07332336e+002
3.79999906e-001, 3.07243561e+002
3.89999896e-001, 3.07154846e+002
3.99999887e-001, 3.07066132e+002
4.09999877e-001, 3.06926575e+002
4.19999868e-001, 3.06787018e+002
4.29999858e-001, 3.06647400e+002
4.39999849e-001, 3.06507843e+002
4.49999839e-001, 3.06368286e+002
4.59999830e-001, 3.06228699e+002
4.69999820e-001, 3.06089142e+002
4.79999810e-001, 3.05949585e+002
4.89999801e-001, 3.05809998e+002
4.99999791e-001, 3.05670410e+002
5.09999812e-001, 3.05422974e+002
5.19999802e-001, 3.05175568e+002
5.29999793e-001, 3.04928101e+002
5.39999783e-001, 3.04680664e+002
5.49999774e-001, 3.04433197e+002
5.59999764e-001, 3.04185791e+002
5.69999754e-001, 3.03938324e+002
5.79999745e-001, 3.03690887e+002
5.89999735e-001, 3.03443481e+002
5.99999726e-001, 3.03196014e+002
6.09999716e-001, 3.02731689e+002
6.19999707e-001, 3.02267395e+002
6.29999697e-001, 3.01803101e+002
6.39999688e-001, 3.01338776e+002
6.49999678e-001, 3.00874512e+002
6.59999669e-001, 3.00410187e+002
6.69999659e-001, 2.99945862e+002
6.79999650e-001, 2.99481567e+002
6.89999640e-001, 2.99017273e+002
6.99999630e-001, 2.98552979e+002
7.09999621e-001, 2.97728821e+002
7.19999611e-001, 2.96904663e+002
7.29999602e-001, 2.96080475e+002
7.39999592e-001, 2.95256287e+002
7.49999583e-001, 2.94432098e+002
7.59999573e-001, 2.93607971e+002
7.69999564e-001, 2.92783783e+002
7.79999554e-001, 2.91959625e+002
7.89999545e-001, 2.91135406e+002
7.99999535e-001, 2.90311279e+002
8.09999526e-001, 2.89043762e+002
8.19999516e-001, 2.87776215e+002
8.29999506e-001, 2.86508667e+002
8.39999497e-001, 2.85241089e+002
8.49999487e-001, 2.83973572e+002
8.59999478e-001, 2.82705994e+002
8.69999468e-001, 2.81438446e+002
8.79999459e-001, 2.80170898e+002
8.89999449e-001, 2.78903320e+002
8.99999440e-001, 2.77635620e+002
9.09999430e-001, 2.76019836e+002
9.19999421e-001, 2.74403870e+002
9.29999411e-001, 2.72787903e+002
9.39999402e-001, 2.71171906e+002
9.49999392e-001, 2.69555908e+002
