[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Velocity [ m s^-1 ]
0.00000000e+000, 3.55869598e+001
9.99999978e-003, 3.64318428e+001
1.99999996e-002, 3.72767982e+001
2.99999993e-002, 3.81218262e+001
3.99999991e-002, 3.89669075e+001
4.99999970e-002, 3.98120499e+001
5.99999949e-002, 4.06572495e+001
6.99999928e-002, 4.15025063e+001
7.99999908e-002, 4.23478088e+001
8.99999887e-002, 4.31931572e+001
9.99999866e-002, 4.40385437e+001
1.09999985e-001, 4.50045929e+001
1.19999982e-001, 4.59706497e+001
1.29999980e-001, 4.69367104e+001
1.39999986e-001, 4.79027786e+001
1.49999991e-001, 4.88688393e+001
1.59999996e-001, 4.98349152e+001
1.70000002e-001, 5.08009987e+001
1.80000007e-001, 5.17670746e+001
1.90000013e-001, 5.27331581e+001
2.00000018e-001, 5.36992531e+001
2.10000023e-001, 5.47230415e+001
2.20000029e-001, 5.57468300e+001
2.30000034e-001, 5.67706299e+001
2.40000039e-001, 5.77944183e+001
2.50000030e-001, 5.88182182e+001
2.60000020e-001, 5.98420143e+001
2.70000011e-001, 6.08658180e+001
2.80000001e-001, 6.18896179e+001
2.89999992e-001, 6.29134178e+001
2.99999982e-001, 6.39372215e+001
3.09999973e-001, 6.51991425e+001
3.19999963e-001, 6.64610596e+001
3.29999954e-001, 6.77229767e+001
3.39999944e-001, 6.89849014e+001
3.49999934e-001, 7.02468338e+001
3.59999925e-001, 7.15087585e+001
3.69999915e-001, 7.27706757e+001
3.79999906e-001, 7.40326080e+001
3.89999896e-001, 7.52945251e+001
3.99999887e-001, 7.65564499e+001
4.09999877e-001, 7.81913223e+001
4.19999868e-001, 7.98261871e+001
4.29999858e-001, 8.14610596e+001
4.39999849e-001, 8.30959244e+001
4.49999839e-001, 8.47307968e+001
4.59999830e-001, 8.63656616e+001
4.69999820e-001, 8.80005417e+001
4.79999810e-001, 8.96353989e+001
4.89999801e-001, 9.12702637e+001
4.99999791e-001, 9.29051437e+001
5.09999812e-001, 9.52393494e+001
5.19999802e-001, 9.75735855e+001
5.29999793e-001, 9.99078217e+001
5.39999783e-001, 1.02242050e+002
5.49999774e-001, 1.04576302e+002
5.59999764e-001, 1.06910545e+002
5.69999754e-001, 1.09244781e+002
5.79999745e-001, 1.11579041e+002
5.89999735e-001, 1.13913292e+002
5.99999726e-001, 1.16247559e+002
6.09999716e-001, 1.19670715e+002
6.19999707e-001, 1.23093910e+002
6.29999697e-001, 1.26517105e+002
6.39999688e-001, 1.29940308e+002
6.49999678e-001, 1.33363525e+002
6.59999669e-001, 1.36786728e+002
6.69999659e-001, 1.40209930e+002
6.79999650e-001, 1.43633163e+002
6.89999640e-001, 1.47056351e+002
6.99999630e-001, 1.50479599e+002
7.09999621e-001, 1.55163620e+002
7.19999611e-001, 1.59847748e+002
7.29999602e-001, 1.64531876e+002
7.39999592e-001, 1.69216019e+002
7.49999583e-001, 1.73900162e+002
7.59999573e-001, 1.78584320e+002
7.69999564e-001, 1.83268478e+002
7.79999554e-001, 1.87952667e+002
7.89999545e-001, 1.92636841e+002
7.99999535e-001, 1.97320999e+002
8.09999526e-001, 2.02937775e+002
8.19999516e-001, 2.08554565e+002
8.29999506e-001, 2.14171432e+002
8.39999497e-001, 2.19788345e+002
8.49999487e-001, 2.25405273e+002
8.59999478e-001, 2.31022247e+002
8.69999468e-001, 2.36639236e+002
8.79999459e-001, 2.42256287e+002
8.89999449e-001, 2.47873306e+002
8.99999440e-001, 2.53491150e+002
9.09999430e-001, 2.59269592e+002
9.19999421e-001, 2.65048859e+002
9.29999411e-001, 2.70828156e+002
9.39999402e-001, 2.76607452e+002
9.49999392e-001, 2.82386749e+002
9.59999382e-001, 2.88166321e+002
9.69999373e-001, 2.93945648e+002
9.79999363e-001, 2.99724915e+002
9.89999354e-001, 3.05504211e+002
